attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
silt,SWDFT,,SWDFT,Silt Water Dispersible Fraction Total,"Silt water dispersible fraction total refers to the total amount of silt particles that can be dispersed into water across different pressures. This total measure indicates the overall dispersibility of silt in a soil, which is important for assessing the soil’s vulnerability to erosion and degradation, especially in soils with a high silt content. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
consistenceDry,HA,,HA,Hard,Moderately resistant to pressure; can be broken in the hands; not breakable between thumb and forefinger.,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,HVH,,HVH,hard to very hard,Additional code formed by combining HA and VHA,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,VHA,,VHA,Very hard,Very hard Very resistant to pressure; can be broken in the hands only with difficulty.,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,SSH,,SSH,soft to slightly hard,soft to slightly hard,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,SO,,SO,Soft,Soil mass is very weakly coherent and fragile; breaks to powder or individual grains under very slight pressure.,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,LO,,LO,Loose,Non-coherent.,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,SHH,,SHH,slightly hard to hard,slightly hard to hard,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,SHA,,SHA,Slightly hard,Weakly resistant to pressure; easily broken between thumb and forefinger.,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,EHA,,EHA,Extremely hard,Extremely resistant to pressure; cannot be broken in the hands.,,,False,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
organicMatterClass,,,,,,,,False,"Refers to the categorization or classification of soil based on the quality, quantity, and composition of organic matter present, influencing soil properties such as fertility, water retention, and microbial activity. Source: Source: FAO, Soil Organic Matter and Soil Health, Land and Water Development Division.",,,
coatingLocation,LA,,LA,Lamellae (clay bands),Location of coatings and clay accumulation in the form of Lamellae (clay bands),,,False,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,PH,,PH,Horizontal pedfaces,Location of coatings and clay accumulation in the form of horizontal pedfaces,,,False,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,PV,,PV,Vertical pedfaces,Location of coatings and clay accumulation in the form of vertical pedfaces,,,False,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,BR,,BR,Bridges between sand grains,Location of coatings and clay accumulation in the form of bridges between sand grains,,,False,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,CF,,CF,Coarse fragments,Location of coatings and clay accumulation in the form of coarse fragments,,,False,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,P,,P,Pedfaces,Location of coatings and clay accumulation in the form of Pedfaces,,,False,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
