collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
lithology,UE2,UE,UE2,sand,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of lacustrine of type sand,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP2,IP,IP2,volcanic scoria/breccia,Hierarchy of lithology from the major class of igneous rock and the group of pyroclastic of type volcanic scoria/breccia,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB,M,MB,basic metamorphic,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UE1,UE,UE1,loess,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of eolian of type loess,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IB3,IB,IB3,dolerite,Hierarchy of lithology from the major class of igneous rock and the group of basic igneous of type dolerite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,SC2,SC,SC2,"sandstone, greywacke, arkose","Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of clastic sediments of type sandstone, greywacke, arkose",,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IP4,IP,IP4,ignimbrite,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type ignimbrite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,IU1,IU,IU1,peridotite,Hierarchy of lithology from the major class of igneous rock and the group of ultrabasic igneous of type peridotite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UL,U,UL,lacustrine,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of lacustrine,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MB5,MB,MB5,amphibolite,Hierarchy of lithology from the major class of metamorphic rock and the group of basic metamorphic of type amphibolite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,MA1,MA,MA1,quartzite,Hierarchy of lithology from the major class of metamorphic rock and the group of acid metamorphic of type quartzite,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UU3,UU,UU3,sand,Hierarchy of lithology from group of unspecified depositsof type sand,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UK,U,UK,kryogenic,Hierarchy of lithology from the major class of sedimentary rock (consolidated) and the group of kryogenic,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UL1,UL,UL1,sand,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of lacustrine of type sand,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UO1,UO,UO1,rainwater-fed moor peat,Hierarchy of lithology from the group of organic of type rainwater-fed moor peat,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UK1,UK,UK1,periglacial rock debris,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of kryogenic of type periglacial rock debris,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
lithology,UG3,UG,UG3,UG3 glacio-fluvial gravel,Hierarchy of lithology from the major class of sedimentary rock (unconsolidated) and the group of kryogenic of type glacio-fluvial gravel,,,"In order to be able to work in smaller scales, some additional natural and anthropogenic parent materials are used for the identification of rocks  in the field, the keys to the most important rock types are provided in the hierarchical SOTER list. See more in the guidelines for Soil Description issued by the FAO: table 12",,,
